State,Under 5 Years,5 to 13 Years,14 to 17 Years,18 to 24 Years,25 to 44 Years,45 to 64 Years,65 Years and Over
1,0.67783,0.27537,0.04186,0.00447,0.00042,0.087,0.059
2,0,0.00008,0.00562,0.04599,0.13092,0.663,0.172
3,0.02204,0.35801,0.38382,0.17006,0.05053,0.242,0.099
4,0.00382,0.28557,0.44203,0.20261,0.05338,0.256,0.092
5,0.35822,0.40764,0.17073,0.04855,0.01162,0.146,0.094
6,0.87811,0.11184,0.00936,0.00064,0.00004,0.063,0.037
7,0.97333,0.02521,0.00137,0.00009,0.00001,0.053,0.018
8,0.72042,0.22532,0.04557,0.0074,0.0011,0.084,0.062
9,0,0.01099,0.15725,0.32938,0.2798,0.416,0.126
10,0.91502,0.0712,0.0113,0.002,0.00038,0.06,0.036
11,0,0.00004,0.00279,0.02568,0.08497,0.719,0.18
12,0.86618,0.11381,0.01716,0.00245,0.00035,0.066,0.043
13,0.00883,0.31825,0.4181,0.18914,0.05223,0.25,0.095
14,0.42193,0.39918,0.13841,0.03258,0.00646,0.131,0.086
15,0.95349,0.04222,0.00385,0.0004,0.00004,0.055,0.024
16,0,0.01361,0.15755,0.31447,0.2736,0.421,0.132
17,0,0,0.00195,0.03388,0.13365,0.655,0.16
18,0,0,0.00075,0.01623,0.07914,0.718,0.175
19,0.97981,0.01935,0.0008,0.00004,0,0.052,0.015
20,0,0,0.00015,0.00507,0.03662,0.774,0.17
21,0,0,0,0,0.00001,1.453,0.159
22,0,0.00001,0.00223,0.03595,0.13531,0.657,0.164
23,0,0,0,0.00016,0.00255,1.011,0.284
24,0,0,0,0,0,1.489,0.08
25,0,0.00021,0.01441,0.09682,0.21381,0.586,0.161
26,0.98721,0.01245,0.00033,0.00001,0,0.051,0.012
27,0.95405,0.04345,0.00236,0.00013,0.00001,0.055,0.023
28,0.17107,0.46028,0.25815,0.08344,0.02109,0.184,0.097
29,0.98914,0.01061,0.00025,0.00001,0,0.051,0.011
30,0.94089,0.05225,0.00596,0.00077,0.00011,0.057,0.028
31,0.11935,0.41168,0.29504,0.12096,0.03848,0.21,0.108
32,0.91502,0.0712,0.0113,0.002,0.00038,0.06,0.036
33,0.90668,0.08349,0.00885,0.00089,0.00009,0.06,0.034
34,0.83954,0.14301,0.01589,0.00144,0.00012,0.068,0.044
35,0.01267,0.48178,0.39161,0.09759,0.01449,0.213,0.075
36,0.76592,0.19643,0.03266,0.00438,0.00054,0.078,0.055
37,0,0.00005,0.00944,0.09005,0.22182,0.586,0.158
38,0.95337,0.04231,0.00387,0.0004,0.00004,0.055,0.024
39,0,0,0,0,0.00018,1.24,0.304
40,0.01838,0.23064,0.33582,0.23243,0.11318,0.294,0.131
41,0.04773,0.26755,0.30998,0.2027,0.1012,0.28,0.14
42,0,0,0.00001,0.00073,0.008,0.92,0.249
43,0,0,0.00031,0.00697,0.04,0.786,0.19
44,0.88036,0.10355,0.01402,0.00181,0.00023,0.064,0.04
45,0,0.00004,0.00595,0.06136,0.17682,0.619,0.16
46,0.266,0.39892,0.2193,0.08113,0.02504,0.173,0.108
47,0,0,0,0,0,1.485,0.092
48,0,0,0.00001,0.0007,0.00846,0.873,0.203
49,0,0,0,0.00001,0.00022,1.223,0.306
50,0,0,0,0,0,1.494,0.06
51,0.02413,0.37963,0.38525,0.15775,0.04226,0.235,0.095
52,0,0,0.00003,0.00099,0.00949,0.894,0.228
53,0,0,0,0,0,1.479,0.108
54,0,0,0,0,0,1.486,0.088
55,0,0,0,0,0,1.443,0.173
56,0.03045,0.41968,0.37464,0.13562,0.03228,0.224,0.09
57,0,0,0,0,0.00007,1.282,0.291
58,0,0,0,0,0,1.495,0.051
59,0,0,0,0.00037,0.00559,0.888,0.205
60,0.00033,0.06673,0.27,0.31331,0.20195,0.367,0.133
61,0,0.00003,0.00474,0.05255,0.1591,0.636,0.164
62,0,0,0,0,0.00008,1.319,0.277
63,0,0,0,0,0.00016,1.196,0.307
64,0,0,0,0.00003,0.00077,1.116,0.309
65,0,0,0.00002,0.00118,0.01342,0.831,0.175
66,0.53757,0.35883,0.08704,0.0143,0.00198,0.109,0.073
67,0,0,0.00001,0.00037,0.00468,0.953,0.259
68,0,0,0,0,0.00005,1.328,0.273
69,0,0,0.00004,0.00184,0.01694,0.833,0.19
70,0.91502,0.0712,0.0113,0.002,0.00038,0.06,0.036
71,0,0,0.00044,0.00697,0.03509,0.807,0.201
72,0.00004,0.01413,0.10368,0.2134,0.23859,0.492,0.173
73,0.00009,0.03487,0.20149,0.30031,0.23659,0.407,0.144
74,0,0.00263,0.07995,0.26077,0.30265,0.467,0.138
75,0,0,0,0,0.00001,1.409,0.214
76,0,0,0,0.00006,0.00139,1.059,0.301
77,0,0,0.0001,0.00303,0.02268,0.812,0.176
78,0,0,0.00001,0.00063,0.00862,0.878,0.215
79,0,0.01802,0.2275,0.37504,0.24399,0.38,0.113
80,0,0.00061,0.01744,0.08406,0.17153,0.62,0.179
81,0,0,0,0.00013,0.00288,0.926,0.228
82,0.98725,0.01241,0.00033,0.00001,0,0.051,0.012
83,0.91502,0.0712,0.0113,0.002,0.00038,0.06,0.036
84,0,0,0.00001,0.00036,0.0042,0.987,0.279
85,0,0.00743,0.10751,0.2663,0.28349,0.457,0.143
86,0.00153,0.11343,0.31027,0.29297,0.16826,0.341,0.132
87,0.761,0.17676,0.04685,0.01166,0.00283,0.082,0.066
88,0,0,0,0.00008,0.00139,1.101,0.311
89,0,0.00359,0.08059,0.24995,0.29721,0.47,0.14
90,0.98783,0.01185,0.00031,0.00001,0,0.051,0.011
91,0.95472,0.04119,0.00367,0.00037,0.00004,0.055,0.024
92,0.00002,0.01305,0.11519,0.24205,0.25637,0.469,0.159
93,0.98072,0.01852,0.00073,0.00003,0,0.052,0.015
94,0.19765,0.47814,0.23823,0.06766,0.01486,0.174,0.092
95,0,0,0.00035,0.00458,0.02236,0.879,0.249
96,0,0,0.00035,0.00785,0.04467,0.765,0.171
97,0,0.00087,0.02576,0.11709,0.21466,0.577,0.169
98,0.19547,0.46717,0.24035,0.07365,0.01818,0.177,0.096
99,0,0,0,0.00009,0.00131,1.117,0.312
100,0.90014,0.08861,0.01004,0.00108,0.00012,0.061,0.036
101,0,0.00016,0.01114,0.07885,0.18713,0.609,0.166
102,0,0,0,0,0.00002,1.413,0.21
103,0.97564,0.02313,0.00116,0.00007,0,0.053,0.017
104,0.54431,0.34817,0.08905,0.01575,0.00234,0.108,0.074
105,0,0,0,0,0.00005,1.404,0.221
106,0.48819,0.42462,0.07789,0.00849,0.00075,0.111,0.067
107,0.58904,0.33173,0.06833,0.00961,0.00115,0.1,0.068
